Hole ID,From,To,Lithology,2nd lithology,comment,Valid_Lith,fine_coarse,Sequence_Strat
IP-26,28,42,Sand,NA,NA,Sand,Coarse,Sand I
IP-26,42,43,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-25,0,6,Clay,NA,NA,Clay,Fine,Clay II
IP-25,6,12,Sand,NA,NA,Sand,Coarse,Sand II
IP-25,12,24,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-25,24,31,Clay,NA,NA,Clay,Fine,Clay I
IP-25,31,42,Sand,NA,NA,Sand,Coarse,Sand I
IP-25,42,43,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-24,0,5,Clay,NA,NA,Clay,Fine,Clay II
IP-24,5,10,Sand,NA,NA,Sand,Coarse,Sand II
IP-24,10,16,Clay,NA,NA,Clay,Fine,Clayey Sand III
IP-24,16,24,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-24,24,32,Clay,NA,NA,Clay,Fine,Clay I
IP-24,32,40,Sand,NA,NA,Sand,Coarse,Sand I
IP-24,40,41,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-23,0,6,Clay,NA,NA,Clay,Fine,Clay II
IP-23,6,12,Sand,NA,NA,Sand,Coarse,Sand II
IP-23,12,22,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-23,22,30,Clay,NA,NA,Clay,Fine,Clay I
IP-23,30,34,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand II
IP-23,34,42,Sand,NA,NA,Sand,Coarse,Sand I
IP-23,42,43,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-22,0,4,Clay,NA,NA,Clay,Fine,Clay II
IP-22,4,16,Sand,NA,NA,Sand,Coarse,Sand II
IP-22,16,26,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-22,26,31,Clay,NA,NA,Clay,Fine,Clay I
IP-22,31,34,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand II
IP-22,34,40,Sand,NA,NA,Sand,Coarse,Sand I
IP-22,40,44,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand I
IP-22,44,45,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-18,0,4,Clay,NA,NA,Clay,Fine,Clay II
IP-18,4,16,Sand,NA,NA,Sand,Coarse,Sand II
IP-18,16,21,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-18,21,30,Clay,NA,NA,Clay,Fine,Clay I
IP-18,30,34,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand II
IP-18,34,40,Sand,NA,NA,Sand,Coarse,Sand I
IP-18,40,44,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand I
IP-18,44,45,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-17,0,2,Clay,NA,NA,Clay,Fine,Clay II
IP-17,2,8,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand IV
IP-17,8,13,Sand,NA,NA,Sand,Coarse,Sand II
IP-17,13,20,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-17,20,30,Clay,NA,NA,Clay,Fine,Clay I
