FULLNAME,SITE,LOCATION,ALIAS,TYPE,LABEL,CLASS,"NORTHING - 
STATE PLANE","EASTING - 
STATE PLANE",ELEV - TOC - NAVD88,ELEV - GRND - NAVD88,ELEV - PVC - NAVD88,ELEV - AMSL,EVENT,YEAR,GEOPHYS,ASSESS,ABANDON,BASELINE,NOTES
L1B-KSA 1,L1B-,KSA 1,-,UK,NA,UNKNOWN,1646122.91,3259076.89,NA,6084.16,NA,NA,SI,1995,NA,NA,NA,NA,NA
L1B-KSA 2,L1B-,KSA 2,-,UK,NA,UNKNOWN,1647072.86,3259165.43,NA,6079.95,NA,NA,SI,1995,NA,NA,NA,NA,NA
L1B-LS1-G1,L1B-,LS1-G1,-,CP,NA,CONTROL POINT,1646838.39,3259266.34,NA,6084.81,NA,NA,SI,1995,NA,NA,NA,NA,TOP OF SILO
L1B-LS2-G1,L1B-,LS2-G1,-,CP,NA,CONTROL POINT,1646997.27,3259014.98,NA,6083.86,NA,NA,SI,1995,NA,NA,NA,NA,ON CONCRETE
L1B-LS3-G1,L1B-,LS3-G1,-,CP,NA,CONTROL POINT,1646629.76,3258814.79,NA,6085.03,NA,NA,SI,1995,NA,NA,NA,NA,TOP OF SILO
L1B-MW-1,L1B-,MW-1,BG-MW1,MW,1,MONITORING WELL,1646122.17,3259548.74,NA,6083.69,NA,NA,SI,1995,NA,NA,NA,NA,NA
L1B-MW-2,L1B-,MW-2,BG-MW2,MW,2,MONITORING WELL,1646789.52,3258620.29,NA,6078.74,NA,NA,SI,1995,NA,NA,NA,NA,CONC PAD  GRND IS 0.35 LOWER
L1B-MW-3,L1B-,MW-3,BG-MW3,MW,6,MONITORING WELL,1647168.94,3258820.16,NA,6077.22,NA,NA,SI,1995,NA,NA,NA,NA,NA
L1B-OT-SB1,L1B-,OT-SB1,-,SB,NA,SOIL BORING,1645828.51,3259353.89,NA,6083.25,NA,NA,SI,1995,NA,NA,NA,NA,GRND
L1B-OT-SB2,L1B-,OT-SB2,-,SB,NA,SOIL BORING,1646379.84,3259323.23,NA,6080.17,NA,NA,SI,1995,NA,NA,NA,NA,GRND
L1B-SC-1,L1B-,SC-1,-,FT,NA,SEAL CHAMBER,1646680.06,3259062.99,NA,6081.36,NA,NA,SI,1995,NA,NA,NA,NA,NA
L1B-SC-2,L1B-,SC-2,-,FT,NA,SEAL CHAMBER,1646972.22,3259252.81,NA,6080.08,NA,NA,SI,1995,NA,NA,NA,NA,NA
L1B-SC-3,L1B-,SC-3,-,FT,NA,SEAL CHAMBER,1647131.37,3259001.25,NA,6077.55,NA,NA,SI,1995,NA,NA,NA,NA,NA
L1B-SC-4,L1B-,SC-4,-,FT,NA,SEAL CHAMBER,1646764.86,3258801.82,NA,6078.93,NA,NA,SI,1995,NA,NA,NA,NA,NA
L1B-SC-5,L1B-,SC-5,-,FT,NA,SEAL CHAMBER,1645727.26,3259411.26,NA,6084.64,NA,NA,SI,1995,NA,NA,NA,NA,NA
L1B-SC-SB1,L1B-,SC-SB1,-,SB,NA,SOIL BORING,1646685.08,3259052.78,NA,6079.2,NA,NA,SI,1995,NA,NA,NA,NA,GRND
L1B-SC-SB3,L1B-,SC-SB3,-,SB,NA,SOIL BORING,1647136.42,3259005.23,NA,6076.61,NA,NA,SI,1995,NA,NA,NA,NA,GRND
L1B-SC-SB4,L1B-,SC-SB4,-,SB,NA,SOIL BORING,1646984.46,3259251.93,NA,6077.38,NA,NA,SI,1995,NA,NA,NA,NA,SC-SB4 GRND - SC-SB2
L1B-SC-SB4,L1B-,SC-SB4,-,SB,NA,SOIL BORING,1646776.16,3258802.76,NA,6077.49,NA,NA,SI,1995,NA,NA,NA,NA,GRND
L1B-SC-SB5,L1B-,SC-SB5,-,SB,NA,SOIL BORING,1645715.74,3259408.56,NA,6082.57,NA,NA,SI,1995,NA,NA,NA,NA,GRND
L1B-SILO-1,L1B-,SILO-1,-,FT,NA,LAUNCHER,1646836.07,3259263.85,NA,6085.14,NA,NA,SI,1995,NA,NA,NA,NA,CENTERLINE
L1B-SILO-2,L1B-,SILO-2,-,FT,NA,LAUNCHER,1646995.13,3259009.01,NA,6084.38,NA,NA,SI,1995,NA,NA,NA,NA,CENTERLINE
L1B-SILO-3,L1B-,SILO-3,-,FT,NA,LAUNCHER,1646628.5,3258809.52,NA,6085.25,NA,NA,SI,1995,NA,NA,NA,NA,CENTERLINE
L1B-SP-SB1,L1B-,SP-SB1,-,SB,NA,SOIL BORING,1646686.22,3259446.6,NA,6079.77,NA,NA,SI,1995,NA,NA,NA,NA,POND AREA
L1B-SP-SB2,L1B-,SP-SB2,-,SB,NA,SOIL BORING,1646690.11,3259489.32,NA,6079.61,NA,NA,SI,1995,NA,NA,NA,NA,POND AREA
L1B-SP-SB3,L1B-,SP-SB3,-,SB,NA,SOIL BORING,1646611.6,3259498.38,NA,6079.61,NA,NA,SI,1995,NA,NA,NA,NA,POND AREA
L1B-SP-SB4,L1B-,SP-SB4,-,SB,NA,SOIL BORING,1646606.17,3259458.05,NA,6079.56,NA,NA,SI,1995,NA,NA,NA,NA,POND AREA
L1B-SP-SS1,L1B-,SP-SS1,-,SS,NA,SURFACE SOIL,1646701.23,3259568.23,NA,6078.71,NA,NA,SI,1995,NA,NA,NA,NA,NA
L1B-UT1-SB1,L1B-,UT1-SB1,-,SB,NA,SOIL BORING,1646324.41,3259383.67,NA,6080.92,NA,NA,SI,1995,NA,NA,NA,NA,GRND
L1B-UT1-SB2,L1B-,UT1-SB2,-,SB,NA,SOIL BORING,1646324.38,3259352.29,NA,6080.86,NA,NA,SI,1995,NA,NA,NA,NA,GRND
L1B-UTB2-SB1,L1B-,UTB2-SB1,-,SB,NA,SOIL BORING,1646307.75,3259448.55,NA,6081.25,NA,NA,SI,1995,NA,NA,NA,NA,GRND
L1B-UTB2-SB2,L1B-,UTB2-SB2,-,SB,NA,SOIL BORING,1646300.99,3259383.34,NA,6081.24,NA,NA,SI,1995,NA,NA,NA,NA,GRND
L1B-UTB2-SB3,L1B-,UTB2-SB3,-,SB,NA,SOIL BORING,1646281.35,3259406.9,NA,6081.59,NA,NA,SI,1995,NA,NA,NA,NA,GRND
L1B-UTB3-SB1,L1B-,UTB3-SB1,-,SB,NA,SOIL BORING,1646251.62,3259252.9,NA,6082.38,NA,NA,SI,1995,NA,NA,NA,NA,GRND
"L1B-GPS base, Set #4 rebar, 2 hour OPUS",L1B-,"GPS base, Set #4 rebar, 2 hour OPUS",-,CP,NA,CONTROL POINT,1647175.34,3258822.58,NA,6076.95,NA,NA,ISR,2014,NA,NA,NA,NA,NA
L1B-UTB3-SB2,L1B-,UTB3-SB2,-,SB,NA,SOIL BORING,1646283.16,3259313.78,NA,6081.95,NA,NA,SI,1995,NA,NA,NA,NA,GRND
L1B-UTB4-SB1,L1B-,UTB4-SB1,-,SB,NA,SOIL BORING,1646358.48,3259068.77,NA,6080.97,NA,NA,SI,1995,NA,NA,NA,NA,GRND
