Hole ID,From,To,Lithology,2nd_lithology,comment
BGMW-01,4,11.5,Poorly graded sand,NA,NA
BGMW-01,11.5,37,Sandstone,NA,NA
BGMW-01,37,42.7,Silty clayey shaley,NA,NA
BGMW-01,42.7,92.9,Sandstone,NA,NA
BGMW-01,92.9,98,Finer grained sand,NA,NA
BGMW-01,98,103,Sandstone,NA,NA
BGMW-01,103,106.4,Siltstone (sandy),NA,NA
BGMW-01,106.4,114,Sandstone,NA,NA
MW-14,0,5,Silty clay with sand,NA,"check these close, they are hand written (MW14 and MW-15)"
MW-14,5,14,Silty sand,NA,NA
MW-14,14,27.4,Clay,NA,NA
MW-14,27.4,34,Gray silty clay,NA,NA
MW-14,34,45,Gray salt & pepper sand,NA,really?
MW-14,45,55,Claystone,NA,NA
MW-15,0,10,Olive silty shaley clay,NA,???
MW-15,10,35,Sandy clay with silt,NA,NA
MW-15,35,55,Silty clay with sand,NA,NA
MW-15,55,65,Clayey silt,NA,NA
IP-09,0,3,Clay,NA,NA
IP-09,3,8,Clayey Sand,NA,NA
IP-09,8,12,Clay,NA,NA
IP-09,12,18,Clayey Sand,NA,NA
IP-09,18,30,Clay,NA,NA
IP-09,30,34,Clayey Sand,NA,NA
IP-09,34,44,Sand,NA,NA
IP-53,0,5,Clay,NA,NA
IP-53,5,21,Sand,NA,NA
IP-53,21,30,Clay,NA,NA
IP-53,30,40,Sand,NA,NA
IP-53,40,44,Clayey Sand,NA,NA
IP-55,0,6,Clay,NA,NA
IP-55,6,22,Sand,NA,NA
IP-55,22,28,Clay,NA,NA
IP-55,28,32,Clayey Sand,NA,NA
IP-55,32,38,Sand,NA,NA
IP-55,38,42,Clayey Sand,NA,NA
IP-55,42,50,Sand,NA,NA
IP-56,0,10,Clay,NA,NA
IP-56,10,18,Sand,NA,NA
IP-56,18,24,Clay,NA,NA
IP-56,24,30,Clayey Sand,NA,NA
IP-56,30,46,Sand,NA,NA
IP-56,46,50,Clayey Sand,NA,NA
IP-54,0,6,Clay,NA,NA
IP-54,6,16,Sand,NA,NA
IP-54,16,28,Clay,NA,NA
IP-54,28,40,Sand,NA,NA
IP-54,40,44,Clayey Sand,NA,NA
IP-54,44,48,Sand,NA,NA
IP-54,48,52,Clayey Sand,NA,NA
IP-43,0,8,Clay,NA,NA
IP-43,8,18,Clayey Sand,NA,NA
IP-43,18,32,Clay,NA,NA
IP-43,32,40,Sand,NA,NA
IP-43,40,42,Clayey Sand,NA,NA
IP-43,42,44,Clay,NA,NA
IP-43,44,46,Clayey Sand,NA,NA
IP-13,0,3,Clay,NA,NA
IP-13,3,10,Sand,NA,NA
IP-13,10,20,Clayey Sand,NA,NA
IP-13,20,31,Clay,NA,NA
IP-13,31,44,Sand,NA,NA
IP-14,0,4,Clay,NA,NA
IP-14,4,10,Sand,NA,NA
IP-14,10,20,Clayey Sand,NA,NA
IP-14,20,31,Clay,NA,NA
IP-14,31,40,Sand,NA,NA
IP-12,0,3,Clay,NA,NA
IP-12,3,10,Sand,NA,NA
IP-12,10,18,Clayey Sand,NA,NA
IP-12,18,31,Clay,NA,NA
IP-12,31,44,Sand,NA,NA
IP-11,0,3,Clay,NA,NA
IP-11,3,7,Clayey Sand,NA,NA
IP-11,7,8,Clay,NA,NA
IP-11,8,10,Clayey Sand,NA,NA
IP-11,10,16,Sand,NA,NA
IP-11,16,20,Clay,NA,NA
IP-11,20,24,Clayey Sand,NA,NA
IP-11,24,32,Clay,NA,NA
IP-11,32,44,Sand,NA,NA
IP-24,0,5,Clay,NA,NA
IP-24,5,10,Sand,NA,NA
IP-24,10,16,Clay,NA,NA
IP-24,16,24,Clayey Sand,NA,NA
IP-24,24,32,Clay,NA,NA
IP-24,32,40,Sand,NA,NA
IP-25,0,6,Clay,NA,NA
IP-25,6,12,Sand,NA,NA
IP-25,12,24,Clayey Sand,NA,NA
IP-25,24,31,Clay,NA,NA
IP-25,31,42,Sand,NA,NA
